model,seed,node_f1,node_auroc,node_threshold,edge_f1,edge_auroc,edge_threshold,subgraph_f1,subgraph_auroc,subgraph_threshold
LogisticRegression,11,0.12121212121212122,0.8872785829307569,0.0010873931627021181,0.8087431693989071,0.9537249999999999,0.024847577589966356,1.0,,0.05
RandomForest,11,0.10071942446043167,0.9685990338164251,0.019999034562656885,0.33333333333333337,0.7332999999999998,0.0,1.0,,0.05
HistGradientBoosting,11,0.42857142857142855,0.9084426040947781,0.75,0.47058823529411764,0.488375,0.04036808996541293,1.0,,0.05
LogisticRegression,22,0.12121212121212122,0.8872785829307569,0.0010873931627021181,0.8087431693989071,0.9537249999999999,0.024847577589966356,1.0,,0.05
RandomForest,22,0.1206896551724138,0.9700943179204049,0.019539144395127044,0.3085106382978723,0.49465,0.01484748332336292,1.0,,0.05
HistGradientBoosting,22,0.42857142857142855,0.9084426040947781,0.75,0.47058823529411764,0.488375,0.04036808996541293,1.0,,0.05
LogisticRegression,33,0.12121212121212122,0.8872785829307569,0.0010873931627021181,0.8087431693989071,0.9537249999999999,0.024847577589966356,1.0,,0.05
RandomForest,33,0.4,0.8750862663906143,0.024831771208844028,0.40993788819875776,0.8157,0.022183588317107095,1.0,,0.05
HistGradientBoosting,33,0.42857142857142855,0.9084426040947781,0.75,0.47058823529411764,0.488375,0.04036808996541293,1.0,,0.05
LogisticRegression,44,0.12121212121212122,0.8872785829307569,0.0010873931627021181,0.8087431693989071,0.9537249999999999,0.024847577589966356,1.0,,0.05
RandomForest,44,0.1206896551724138,0.9704393834828617,0.02114224358318847,0.5559105431309904,0.87655,0.038525436882450234,1.0,,0.05
HistGradientBoosting,44,0.42857142857142855,0.9084426040947781,0.75,0.47058823529411764,0.488375,0.04036808996541293,1.0,,0.05
LogisticRegression,55,0.12121212121212122,0.8872785829307569,0.0010873931627021181,0.8087431693989071,0.9537249999999999,0.024847577589966356,1.0,,0.05
RandomForest,55,0.41379310344827586,0.9169542213020474,0.05,0.33333333333333337,0.6663625,0.0,1.0,,0.05
HistGradientBoosting,55,0.42857142857142855,0.9084426040947781,0.75,0.47058823529411764,0.488375,0.04036808996541293,1.0,,0.05
